date,zone,egg_color,egg_size,source_name,source_url,unit,price_clp,includes_iva,includes_freight,freight_clp,is_promo,notes
2021-01-31,Región Metropolitana de Santiago,blanco,L,anchor,,docena,612.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-01-31,Región Metropolitana de Santiago,blanco,M,anchor,,docena,5160.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-01-31,Región Metropolitana de Santiago,blanco,S,anchor,,docena,4320.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-01-31,Región Metropolitana de Santiago,color,XL,anchor,,docena,864.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-01-31,Región Metropolitana de Santiago,color,L,anchor,,docena,5880.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-01-31,Región Metropolitana de Santiago,color,M,anchor,,docena,4920.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-01-31,Región Metropolitana de Santiago,color,S,anchor,,docena,4080.0,False,False,,False,from anchors (anchors_wholesale.csv)
2020-11-30,Región Metropolitana de Santiago,blanco,XL,anchor,,docena,852.0,False,False,,False,from anchors (anchors_wholesale.csv)
2020-11-30,Región Metropolitana de Santiago,blanco,L,anchor,,docena,720.0,False,False,,False,from anchors (anchors_wholesale.csv)
2020-11-30,Región Metropolitana de Santiago,blanco,M,anchor,,docena,684.0,False,False,,False,from anchors (anchors_wholesale.csv)
2020-11-30,Región Metropolitana de Santiago,blanco,S,anchor,,docena,672.0,False,False,,False,from anchors (anchors_wholesale.csv)
2020-11-30,Región Metropolitana de Santiago,color,XL,anchor,,docena,888.0,False,False,,False,from anchors (anchors_wholesale.csv)
2020-11-30,Región Metropolitana de Santiago,color,L,anchor,,docena,780.0,False,False,,False,from anchors (anchors_wholesale.csv)
2020-11-30,Región Metropolitana de Santiago,color,M,anchor,,docena,684.0,False,False,,False,from anchors (anchors_wholesale.csv)
2020-11-30,Región Metropolitana de Santiago,color,S,anchor,,docena,672.0,False,False,,False,from anchors (anchors_wholesale.csv)
2020-09-30,Región Metropolitana de Santiago,blanco,XL,anchor,,docena,1109.0,False,False,,False,from anchors (anchors_wholesale.csv)
2020-09-30,Región Metropolitana de Santiago,blanco,L,anchor,,docena,958.0,False,False,,False,from anchors (anchors_wholesale.csv)
2020-09-30,Región Metropolitana de Santiago,blanco,M,anchor,,docena,948.0,False,False,,False,from anchors (anchors_wholesale.csv)
2020-09-30,Región Metropolitana de Santiago,blanco,S,anchor,,docena,938.0,False,False,,False,from anchors (anchors_wholesale.csv)
2020-09-30,Región Metropolitana de Santiago,color,XL,anchor,,docena,1180.0,False,False,,False,from anchors (anchors_wholesale.csv)
2020-09-30,Región Metropolitana de Santiago,color,L,anchor,,docena,1018.0,False,False,,False,from anchors (anchors_wholesale.csv)
2020-09-30,Región Metropolitana de Santiago,color,M,anchor,,docena,968.0,False,False,,False,from anchors (anchors_wholesale.csv)
2020-09-30,Región Metropolitana de Santiago,color,S,anchor,,docena,948.0,False,False,,False,from anchors (anchors_wholesale.csv)
